"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"62",1.90703759684092e-202,1.0055217023047,0.657,0.361,3.82246615910795e-198,"2","Tcf4"
"63",5.65045707324946e-174,1.42165751800635,0.441,0.196,1.13257761576212e-169,"2","Ust"
"64",8.8684998485677e-168,1.52528917861655,0.367,0.147,1.77760210964691e-163,"2","Col23a1"
"65",7.7736634711357e-165,3.08941169592394,0.096,0.011,1.55815310615444e-160,"2","Sall3"
"66",8.0725081133703e-147,1.23134975156954,0.44,0.209,1.61805352624394e-142,"2","Pdzrn4"
"67",2.76199406183757e-134,1.22610815235527,0.429,0.21,5.53614089754722e-130,"2","Slit1"
"68",3.85789014868391e-134,1.31892314310515,0.392,0.183,7.73275501402203e-130,"2","Palmd"
"69",4.12283769330242e-120,1.32738216170684,0.314,0.134,8.26381587245538e-116,"2","Matn2"
"70",2.79583028335169e-112,1.2791194396729,0.355,0.169,5.60396221995013e-108,"2","Ildr2"
"71",1.19924134457412e-109,1.35461436765146,0.303,0.133,2.40375935106436e-105,"2","Igfbpl1"
"72",2.56368230850128e-107,1.4521581701771,0.256,0.103,5.13864481915997e-103,"2","Dlx1"
"73",4.10885459510687e-104,1.4892072829927,0.23,0.088,8.23578815043221e-100,"2","Ndnf"
"74",4.18848299549034e-104,1.44596768310574,0.309,0.143,8.39539531616083e-100,"2","Scn9a"
"75",6.64738660330475e-99,1.63768621307786,0.179,0.06,1.3324021707664e-94,"2","Spata13"
"76",8.26015003569301e-98,1.15057495681845,0.357,0.18,1.65566447315431e-93,"2","Nxn"
"77",1.01582475187305e-96,1.86318499070731,0.145,0.043,2.03611913265435e-92,"2","Nfix"
"78",9.75262772107368e-93,1.76552700469298,0.153,0.048,1.95481670041201e-88,"2","Acss1"
"79",1.55091508712215e-83,3.33373044146648,0.043,0.004,3.10865420062765e-79,"2","Gm27239"
"80",6.94125231120553e-78,1.02554983634465,0.435,0.265,1.39130461325804e-73,"2","Fam19a2"
"81",5.75024184539531e-77,1.49536583688453,0.179,0.07,1.15257847549104e-72,"2","Pnoc"
"82",1.03018793390231e-76,1.01576918226583,0.348,0.19,2.06490869471378e-72,"2","Tiam1"
"83",1.49212617723099e-74,2.73966883677196,0.053,0.008,2.9908177096418e-70,"2","Col27a1"
"84",4.72144318640929e-73,1.33969344482867,0.208,0.09,9.46366072283878e-69,"2","Sh3rf1"
"85",8.67259351272451e-66,1.06054771544446,0.266,0.135,1.7383346436905e-61,"2","Cacng5"
"86",5.70479214948992e-63,1.94081554107018,0.085,0.023,1.14346853844376e-58,"2","Eva1c"
"87",7.81415441179888e-62,1.19691344886479,0.219,0.105,1.56626911030097e-57,"2","Nbl1"
"88",8.56996025985264e-62,1.12183556523225,0.265,0.138,1.71776283448486e-57,"2","D930015E06Rik"
"89",2.50719418559314e-59,2.21966808187529,0.068,0.016,5.0254200256029e-55,"2","Rassf2"
"90",1.01688141555562e-57,1.56329188220449,0.124,0.046,2.03823710933969e-53,"2","Mlip"
"91",3.19241499835054e-53,1.26872431027199,0.166,0.074,6.39887662269382e-49,"2","Zic3"
"92",4.48274493747232e-52,2.31338806145662,0.053,0.012,8.98521395266953e-48,"2","Ttr"
"93",1.65223510539792e-51,1.69029553802586,0.089,0.029,3.31174004525958e-47,"2","Dock5"
"94",2.07793123933249e-51,2.03806839616308,0.07,0.019,4.16500537611805e-47,"2","Adgra3"
"95",1.62116945083473e-50,1.62999534524183,0.097,0.033,3.24947204725313e-46,"2","Unc5b"
"96",2.62567735195029e-49,1.00370437690179,0.226,0.119,5.26290768424916e-45,"2","Lypd1"
"97",3.24434137454471e-49,2.07704467433437,0.071,0.021,6.50295785113741e-45,"2","Gsap"
"98",2.83963811024912e-48,2.7254812348672,0.039,0.007,5.69177062818333e-44,"2","Lgr5"
"99",4.18550347432386e-48,1.34396404274176,0.139,0.06,8.38942316393475e-44,"2","Gnb4"
"100",7.19748509263315e-47,1.5144153788045,0.092,0.032,1.44266391196739e-42,"2","3110035E14Rik"
"101",0,1.88530783955057,0.98,0.545,0,"3","Nxph1"
"102",0,1.89591325680914,0.704,0.304,0,"3","Car10"
"103",0,1.68483456769696,0.867,0.524,0,"3","Cntnap5a"
"104",8.12881991216778e-305,1.22381917323323,0.853,0.558,1.62934066319491e-300,"3","Nrg1"
"105",4.14020735606187e-274,1.68554364808544,0.522,0.196,8.29863162449041e-270,"3","Gfra1"
"106",1.00130757136467e-272,3.05885284161588,0.206,0.033,2.00702089604335e-268,"3","Pou6f2"
"107",1.6084844972299e-267,1.63150708057561,0.49,0.175,3.2240463262476e-263,"3","Slit2"
"108",1.94226885390081e-254,1.4842975013407,0.612,0.279,3.89308369075879e-250,"3","Hs3st4"
"109",5.85366971230493e-233,1.10265023440236,0.797,0.477,1.1733095571344e-228,"3","Ncam2"
"110",1.24561779508208e-228,1.28043260515278,0.703,0.406,2.49671630846253e-224,"3","Sgcz"
"111",4.63225632077326e-218,1.02013285440178,0.878,0.674,9.28489456935793e-214,"3","Etl4"
"112",7.63062593786642e-208,1.42548688553598,0.541,0.245,1.52948266298595e-203,"3","Vat1l"
"113",5.30146013304935e-199,1.2738247971198,0.705,0.434,1.06262466906841e-194,"3","Cntnap5b"
"114",7.70032074952121e-187,1.01019157425917,0.785,0.528,1.54345229103403e-182,"3","Dgki"
"115",2.3065213594907e-179,1.77841761484248,0.31,0.102,4.62319141296316e-175,"3","Grin3a"
"116",5.19757155935128e-150,1.0396985328212,0.525,0.265,1.04180124335637e-145,"3","Unc5c"
"117",1.06512453294149e-143,1.06175790399969,0.508,0.252,2.13493561382792e-139,"3","Neto1"
"118",1.59140123204277e-139,1.15063704416445,0.59,0.353,3.18980462950654e-135,"3","Inpp4b"
"119",6.10770458005539e-136,1.19081542647182,0.498,0.258,1.2242283060263e-131,"3","Plcxd3"
"120",2.1082111532655e-134,1.32122166995051,0.413,0.191,4.22569843560536e-130,"3","Maml3"
"121",1.23500680196597e-125,1.24238253002385,0.418,0.2,2.4754476338606e-121,"3","Gabra1"
"122",1.86384802217652e-117,1.05183240321732,0.594,0.378,3.73589697565062e-113,"3","Nrp1"
