"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.07402718625299e-16,1.37761484737004,0.083,0.035,1.64321558315855e-11,"0","Ipcef1"
3.1019377128892e-15,2.26535926821942,0.032,0.007,5.61729900427105e-11,"0","C030005K15Rik"
4.58879257116617e-15,1.51661899216271,0.064,0.024,8.30984446712481e-11,"0","D930020B18Rik"
2.06236029809942e-14,1.34329097831451,0.091,0.043,3.73472826382825e-10,"0","Rmst"
2.96410728840873e-14,1.55832805065224,0.267,0.194,5.36770188857937e-10,"0","Adarb2"
6.21020785896295e-14,1.07923663957088,0.114,0.06,1.1246065411796e-09,"0","Junb"
6.79209292405636e-14,2.01561635873801,0.035,0.009,1.22998010761737e-09,"0","Cdcp1"
4.99705593324007e-13,1.39524852188566,0.059,0.024,9.04916858950444e-09,"0","Gm5441"
1.05769829508498e-12,1.09959475137737,0.098,0.051,1.91538584256939e-08,"0","Nox4"
1.11890040003521e-12,1.06857861487123,0.09,0.044,2.02621673442376e-08,"0","Lncenc1"
1.39219822618121e-12,1.52736446406422,0.064,0.027,2.52113176779156e-08,"0","Gdpd2"
3.55039156500346e-12,1.4566490665498,0.051,0.019,6.42940408506477e-08,"0","Ppp1r1b"
7.7169763147404e-12,2.46787632197306,0.022,0.004,1.39746724083634e-07,"0","Gm43248"
3.59447722207383e-11,1.37948120602734,0.043,0.015,6.5092388014535e-07,"0","Rprm"
2.73343207234625e-156,5.76561317066533,1,0.263,4.94997213981183e-152,"1","Fam19a1"
2.95089133726847e-90,3.10537670652077,0.927,0.352,5.34376912265947e-86,"1","Zbtb20"
2.53829986085428e-84,2.6242715528524,0.874,0.252,4.59660721802102e-80,"1","Zfp804b"
1.2842200463585e-81,2.32366768829503,0.947,0.319,2.3255940819506e-77,"1","Egfem1"
1.51834722214117e-79,2.13632279908647,0.993,0.798,2.74957498457545e-75,"1","Pcdh15"
8.35023791267076e-71,4.03042963001868,0.212,0.014,1.51214458360555e-66,"1","Gpr149"
3.65139326089676e-70,3.36020977428572,0.338,0.038,6.61230805615793e-66,"1","Nts"
1.13623120886911e-67,2.18049286217738,0.94,0.373,2.05760109614108e-63,"1","Pbx3"
2.2300667774626e-63,4.68250632659837,0.126,0.005,4.03842792730703e-59,"1","Chodl"
2.67218770617337e-60,2.44854863195685,0.815,0.321,4.83906471710936e-56,"1","Nebl"
1.91482788624246e-56,2.03116620329986,0.894,0.394,3.46756181919648e-52,"1","Alcam"
5.40788212403405e-56,2.42016991056886,0.523,0.108,9.79313373841327e-52,"1","Runx1t1"
3.81708918137713e-41,1.73649786475474,0.854,0.433,6.91236679855585e-37,"1","Enox1"
1.66059350508601e-40,1.83633129694638,0.709,0.26,3.00716877836025e-36,"1","Ntng1"
7.57184861474805e-40,2.2117934260978,0.556,0.165,1.37118606564472e-35,"1","Sv2c"
1.20210657638226e-39,1.22793063661448,0.98,0.746,2.17689479917063e-35,"1","Meis2"
2.09528148442212e-39,3.22680742683741,0.212,0.026,3.79434524014002e-35,"1","Sulf1"
5.47972606726069e-38,2.23410503634788,0.51,0.142,9.92323593520239e-34,"1","Stk31"
1.65127026818889e-36,1.31351492557657,0.967,0.699,2.99028532866326e-32,"1","Pbx1"
6.54215338138772e-36,3.55527113830227,0.166,0.018,1.1847185558355e-31,"1","Cartpt"
9.62110411094757e-34,3.01810160097776,0.344,0.078,1.7422857434515e-29,"1","Adgrg4"
5.97392871197896e-33,1.16393283465765,0.94,0.608,1.08181875045227e-28,"1","Grm8"
2.79627841777982e-32,2.02584733568521,0.563,0.196,5.06378058675747e-28,"1","Pcdh11x"
6.40311431756128e-32,3.68028166148386,0.113,0.009,1.15953997176717e-27,"1","Col12a1"
2.71867805206078e-31,1.7629493191537,0.649,0.269,4.92325408447687e-27,"1","Slc35f4"
9.32023879495175e-31,6.71492780429075,0.026,0,1.68780204337781e-26,"1","Tnfsf11"
1.25360750302175e-30,5.80803720868223,0.04,0.001,2.27015782722208e-26,"1","Dapp1"
2.21141008589167e-29,1.34221753147952,0.629,0.239,4.00464252454122e-25,"1","Sst"
4.73661896407871e-29,1.20324449585929,0.901,0.541,8.57754328205014e-25,"1","Asic2"
1.53706595588702e-28,1.22965367190659,0.934,0.625,2.7834727395158e-24,"1","Sorcs1"
2.34917201879121e-28,1.97834111887023,0.417,0.122,4.25411560882901e-24,"1","Thsd7b"
6.23956066292585e-28,2.15277115011464,0.377,0.102,1.12992204044924e-23,"1","Gm15398"
8.18878174179561e-28,1.40521088688999,0.868,0.556,1.48290648562177e-23,"1","Slc2a13"
4.03349792521532e-27,1.0186921236203,0.967,0.846,7.30426139277242e-23,"1","Cadm1"
3.07334545434551e-25,2.11428368133733,0.298,0.071,5.56552128327429e-21,"1","Arhgef28"
7.22471460299255e-25,3.72786685999825,0.126,0.015,1.30832356745592e-20,"1","Vcan"
3.58898327279062e-24,2.46894856263669,0.192,0.034,6.49928980869654e-20,"1","Gdpd2"
2.84823381434462e-23,2.07789288037204,0.391,0.126,5.15786661439667e-19,"1","Stac"
2.94599451310448e-23,2.56159931337913,0.179,0.031,5.33490146378091e-19,"1","Syt6"
1.30084535924224e-22,1.99090126583204,0.325,0.09,2.35570086105177e-18,"1","Sema6a"
6.20941393170073e-22,1.05813424042905,0.854,0.57,1.12446276889169e-17,"1","Tnr"
3.04906909577093e-21,2.31417209298106,0.278,0.073,5.52155922553158e-17,"1","Ssfa2"
1.20485828662865e-20,1.59096642761398,0.397,0.134,2.18187787125582e-16,"1","Synpr"
2.5490612718442e-20,2.12791747492074,0.225,0.051,4.61609505718265e-16,"1","Baiap3"
4.85005112101915e-20,6.97796221012455,0.013,0,8.78295757505358e-16,"1","Vsig10l"
1.09650191253828e-19,2.16883166317709,0.245,0.061,1.98565531341557e-15,"1","Plch1"
1.45652219769574e-19,1.8350042562825,0.318,0.095,2.63761604780721e-15,"1","Spon1"
2.14298924694922e-19,1.3551454699696,0.695,0.377,3.88073922730035e-15,"1","Kcnq3"
1.35471869975863e-18,1.60145049061955,0.45,0.182,2.45326009339291e-14,"1","Crim1"
1.58472847668093e-18,2.15628200403499,0.265,0.074,2.86978479842149e-14,"1","Fbn2"
5.13753087974487e-207,1.14493671995764,0.999,0.953,9.30355467012998e-203,"2","Pcdh9"
4.5463470373459e-205,1.2623916735623,0.995,0.893,8.23297984992969e-201,"2","Gabrg3"
1.34673848094466e-177,1.17594682136221,0.984,0.727,2.43880871514268e-173,"2","March1"
5.22734875129859e-172,1.55907227339462,0.801,0.327,9.46620585372662e-168,"2","Tox"
3.44374924761557e-156,1.56194174080406,0.824,0.42,6.23628551250703e-152,"2","Kcnt2"
6.61867731489e-148,2.44457274862535,0.376,0.074,1.19857627495343e-143,"2","Etv1"
1.05916208859582e-135,1.94696793310974,0.541,0.175,1.91803662623818e-131,"2","Iqgap2"
2.50066024509366e-125,1.21446140552865,0.884,0.583,4.5284456378401e-121,"2","Focad"
7.42104744200975e-119,1.56682717144023,0.727,0.375,1.34387748127355e-114,"2","Inpp4b"
1.72230436298152e-111,2.00586717322149,0.438,0.132,3.11892097092323e-107,"2","Slit1"
4.03827387896391e-104,1.28815567144519,0.683,0.321,7.31291016741574e-100,"2","Chrm2"
5.84589014546186e-99,1.09486963002703,0.836,0.51,1.05863224644169e-94,"2","Shisa6"
1.01083463024625e-97,1.25014817378891,0.728,0.381,1.83052043191293e-93,"2","Pld5"
6.52026070766469e-96,2.40421447743174,0.254,0.05,1.180754011551e-91,"2","Plpp4"
1.01474519848382e-93,2.11347812903068,0.349,0.098,1.83760207993435e-89,"2","Cnr1"
2.92870440482457e-77,1.46284790633356,0.506,0.217,5.30359080669681e-73,"2","Hs3st2"
4.12102635931279e-77,1.10012664320324,0.746,0.451,7.46276663407954e-73,"2","Sh3gl2"
4.63613876239723e-70,2.03486164825179,0.257,0.068,8.39558368482514e-66,"2","Styk1"
5.15057020473322e-65,1.39779079387993,0.469,0.207,9.32716758375139e-61,"2","Adamtsl1"
6.20367831709913e-62,1.29089918651267,0.551,0.292,1.12342410644348e-57,"2","Cdh7"
5.12480882750331e-61,1.50245179027625,0.328,0.114,9.28051630572574e-57,"2","Mob3b"
3.15865833404362e-59,1.31205708541871,0.458,0.209,5.72001437711959e-55,"2","Trpc3"
3.19547543213459e-59,1.15519797311452,0.667,0.43,5.78668646005253e-55,"2","Luzp2"
3.87207931556616e-59,1.58530027363855,0.354,0.137,7.01194843255876e-55,"2","4930590L20Rik"
4.01517960934642e-57,1.42708271470786,0.398,0.169,7.27108875456544e-53,"2","Necab1"
3.37175444746036e-56,1.20106099310566,0.499,0.243,6.10591012890596e-52,"2","Ano2"
6.37317222067504e-53,1.61081380063622,0.328,0.129,1.15411775744204e-48,"2","Enpp2"
1.14971275895572e-52,1.82212709945182,0.248,0.079,2.08201483519291e-48,"2","Igfbpl1"
5.27180709045472e-52,1.19476111180279,0.457,0.219,9.54671546010446e-48,"2","Hdac9"
3.10513835304634e-51,1.10537924420648,0.525,0.281,5.62309504353162e-47,"2","Tyro3"
8.26510314482195e-50,1.32664150514867,0.352,0.146,1.49672752849581e-45,"2","Ust"
2.20132392761451e-47,1.26724218163808,0.35,0.149,3.98637750051712e-43,"2","Sv2c"
2.33491197385028e-45,1.36361356261798,0.34,0.145,4.22829209344547e-41,"2","Man2a1"
1.38275886078968e-42,2.96682262504673,0.089,0.013,2.50403802100403e-38,"2","Lrp4"
1.99771387920564e-42,1.45507381247898,0.248,0.089,3.6176600638535e-38,"2","Tox3"
5.22660777869035e-41,1.53421170168678,0.251,0.095,9.46486402643036e-37,"2","Cald1"
8.65299922640651e-41,3.02841383845375,0.084,0.012,1.56697162990995e-36,"2","Igdcc3"
4.61491815248279e-40,1.02462862601607,0.464,0.252,8.35715528233108e-36,"2","Rerg"
3.77950472779909e-39,1.89834900778668,0.167,0.049,6.84430511157137e-35,"2","Met"
4.05613427549809e-38,1.39577420392445,0.285,0.121,7.3452535594995e-34,"2","Palmd"
1.21820946674389e-35,1.6336963235545,0.187,0.063,2.20605552332652e-31,"2","Slc6a11"
